WP, 92, 2015011112,   , BEST,   0, 060N, 1510E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  40,   0,   0,   W,   0,   X, 315,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011118,   , BEST,   0, 064N, 1489E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  40,   0,   0,   W,   0,   X, 295,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011200,   , BEST,   0, 075N, 1480E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  40,   0,   0,   W,   0,   X, 300,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011206,   , BEST,   0, 087N, 1460E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  170,  40,   0,   0,   W,   0,   X, 300,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011212,   , BEST,   0, 089N, 1446E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  170,  40,   0,   0,   W,   0,   X, 290,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011218,   , BEST,   0, 088N, 1433E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  170,  40,   0,   0,   W,   0,   X, 280,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011300,   , BEST,   0, 088N, 1427E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  40,   0,   0,   W,   0,   X, 270,  11,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
WP, 92, 2015011306,   , BEST,   0, 085N, 1425E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  210,  30,   0,   0,   W,   0,   X, 260,   7,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP922014, JTWC, NCEP_TCVITALS, 
